Job Title,Company,Experience,Location,Salary,Link,Skills
Quality Analyst,Gruppent Solutions,"<span class=""ellipsis fleft fs12 lh16"" title=""0-5 Yrs "">0-5 Yrs</span>",Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-quality-analyst-gruppent-solutions-pvt-ltd-kolkata-0-to-5-years-130121500411"")","BPO, data analysis, Analytical skills, Call monitoring, Process orientation, Action plan, Process quality, Customer experience"
Business Analyst,Prime Infosoft,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-prime-infosoft-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-4-to-8-years-260822907401"")","DATA ANALYST, analytical, Business analysis, SQL, Agile, Data Analysis, Business Analyst, Production Support"
Business Analyst,Zensar,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""9-14 Yrs "">9-14 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-zensar-technologies-limited-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-9-to-14-years-250822000837"")","Business Analytics, BA, Business Analysis"
Data Analytic | Fresher | Business Analytics,Creative Hands HR Consultancy,"<span class=""ellipsis fleft fs12 lh16"" title=""0-4 Yrs "">0-4 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Ranchi, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","4,50,000 - 6,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-data-analytic-fresher-business-analytics-creative-hands-hr-consultancy-kolkata-hyderabad-secunderabad-ranchi-chennai-bangalore-bengaluru-mumbai-all-areas-0-to-4-years-160522000552"")","Business Analytics, Data Analysis, Data Analytics, Analytical Skills, Data Analyst"
Data Scientist,Noble House Consulting India Private Limited,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>","Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","15,00,000 - 25,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-data-scientist-noble-house-consulting-india-private-limited-kolkata-pune-chennai-bangalore-bengaluru-delhi-ncr-2-to-7-years-040822006845"")","Machine Learning, Python, SQL, testing, Data Science, Data Engineering, data, Data Structures"
Opportunity @Freshers as a Accounts Admin/MIS Executive/Data Entry/WFH,ICONIC INFOTECH,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-5 Yrs "">0-5 Yrs</span>","Kolkata, Noida, Bangalore/Bengaluru","2,00,000 - 4,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-opportunity-freshers-as-a-accounts-admin-mis-executive-data-entry-wfh-iconic-infotech-noida-kolkata-bangalore-bengaluru-0-to-5-years-300822003373"")","back office, KPO, Inbound, blended process, BPO, Customer Service, Typing, cce"
Guidewire Business Analyst,HR Logica,"<span class=""ellipsis fleft fs12 lh16"" title=""5-10 Yrs "">5-10 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-guidewire-business-analyst-hr-logica-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-5-to-10-years-200722903911"")","Guidewire, BA, data warehousing, ETL, SQL, GW, Business Analyst, Guidewire Business Analyst"
Business Analyst (Kolkata /WFH),Empower Recruitments,"<span class=""ellipsis fleft fs12 lh16"" title=""3-5 Yrs "">3-5 Yrs</span>",Kolkata,"4,50,000 - 8,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-kolkata-wfh-empower-recruitments-kolkata-3-to-5-years-030922002081"")","Technology analyst, Business Analyst, Finance, BRD, Enterprise as product, agile, IT Skills, Cloud"
Business Analyst,EY,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>","Kolkata, Kerala, India",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-eygbs-india-llp-kolkata-kerala-india-3-to-8-years-020922007004"")","Business Analytics, SQL"
Business Analyst,Asconsoftech,"<span class=""ellipsis fleft fs12 lh16"" title=""5-8 Yrs "">5-8 Yrs</span>",Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-analyst-asconsoftech-kolkata-5-to-8-years-070122501360"")","Variance analysis, business analysis, data analytics, Excel, Pricing Analysis, Business Analyst, Management Accounting, Budgeting"
