Job Title,Company,Experience,Location,Salary,Link,Skills
Big Data Testing Engineer - Automation Testing,A2Z Finders,"<span class=""ellipsis fleft fs12 lh16"" title=""5-9 Yrs "">5-9 Yrs</span>","Kochi/Cochin, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-big-data-testing-engineer-automation-testing-a2z-finders-kochi-cochin-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-9-years-270722906853"")","Big Data Testing, Java, Software Quality Assurance, Automation Testing Tools, Data Management, Automation Testing, Testing, SQL"
MIS EXECUTIVE CUM RECEPTIONIST,Fastlink Hr,"<span class=""ellipsis fleft fs12 lh16"" title=""0-3 Yrs "">0-3 Yrs</span>",Ernakulam,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-mis-executive-receptionist-fastlink-hr-ernakulam-0-to-3-years-191021500785"")","Printing, SUB, Front Office Executive, MIS Executive"
AR Callers,BLUE CHIP HR SOLUTIONS PVT LTD,"<span class=""ellipsis fleft fs12 lh16"" title=""0-5 Yrs "">0-5 Yrs</span>","Kochi, Hyderabad, Chennai, Bengaluru, Trivandrum",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-ar-callers-blue-chip-hr-solutions-pvt-ltd-ernakulam-kochi-cochin-hyderabad-secunderabad-chennai-bengaluru-bangalore-trivandrum-0-to-5-years-281217500328"")","Help Desk, Customer Service, data analysis, customer relationship, access controls, Technology, Telephony support, Asset Management"
Hiring Managers-B-school/IIM only,CM Jobs,"<span class=""ellipsis fleft fs12 lh16"" title=""0-2 Yrs "">0-2 Yrs</span>","Kochi/Cochin, Mumbai, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-hiring-managers-b-school-iim-only-cm-jobs-kochi-cochin-mumbai-pune-chennai-bangalore-bengaluru-0-to-2-years-030822906184"")","sales, Data analysis, IT Skills, Digital Marketing, Salesforce, mnc, B-school, business development"
MIS-Executive-Kochi,Muthoot Fincorp,"<span class=""ellipsis fleft fs12 lh16"" title=""2-6 Yrs "">2-6 Yrs</span>","Kochi/Cochin, Ernakulam","1,25,000 - 3,50,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-mis-executive-kochi-muthoot-fincorp-ltd-kochi-cochin-ernakulam-2-to-6-years-030822001445"")","MIS, MIS Reporting"
Area Manager - Used Car Finance/Senior Area Manager,Bajaj Finserv,"<span class=""ellipsis fleft fs12 lh16"" title=""4-6 Yrs "">4-6 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-area-manager-used-car-finance-senior-area-manager-bajaj-finserv-ltd-kochi-cochin-4-to-6-years-200822500641"")","Loans, Data analysis, Excel, NBFC, MIS, Agile, Salesforce.com, Customer experience"
Walk-in -Area Sales Executive- Kochi,Exide,"<span class=""ellipsis fleft fs12 lh16"" title=""1-6 Yrs "">1-6 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-walk-in-area-sales-executive-kochi-exide-industries-ltd-kochi-cochin-1-to-6-years-030922002732"")","Channel sales, Distribution Channel Sales, Dealer Development, network expansion, sales executive activities, data analysis, area sales, dealing"
Assistant Manager,Kitex Garments,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-assistant-manager-kitex-garments-limited-ernakulam-kochi-cochin-2-to-7-years-300817500591"")","Help Desk, Customer Service, data analysis, customer relationship, Telephony support, Legal, Intellectual Property, Vendor Management"
Assistant Manager -  Transaction Advisory,JAKS &amp; Associates Chartered Accountants,"<span class=""ellipsis fleft fs12 lh16"" title=""3-7 Yrs "">3-7 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-assistant-manager-transaction-advisory-jaks-amp-associates-chartered-accountants-ernakulam-kochi-cochin-3-to-7-years-100120501424"")","Financial statements, Data analysis, Interpersonal skills, Transaction advisory, Excel, Project management, Analytical, Cash flow"
Manager HR,HUSYS CONSULTING LIMITED,"<span class=""ellipsis fleft fs12 lh16"" title=""0-2 Yrs "">0-2 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-manager-hr-husys-consulting-limited-ernakulam-kochi-cochin-0-to-2-years-160718500016"")","Training, Data analysis, Employee retention, Compliance, Performance management system, Recruitment, Employee relations"
